"'Table 4-Prunus, cherry,","'peach,","'and plum:","'seed","'data","'","'","'","'","'",
"'","'","'Seed (100 lb)","'weight/45 kg of fruit","'","'","'Cleaned seeds/weight","'","'","'",
"'","'","'Range","'","'Average","'Range","'","'Average","'","'",
"'Species","'kg","'lb","'kg","'lb","'/kg","'","'/kg","'/b","'Samples",
"'P. alleghaniensis","'-","'","'","'-","'-","'","'2,950","'338","'I",
"'P. americana","'3-15","'7-34","'9","'19","'550-1,500","'250-680","'870","'395","'27+",
"'P. angustifolia","'4-14","'8-30","'7","'16","'770-1,530","'350-694","'1,030","'467","'14+",
"'P. armeniaca","'","'","'","'","'","'","'","'","'",
"'USA","'14-18","'30-40","'","'","'200-560","'91-254","'317","'144","'10+",
"'USSR","'5-7","'10-15","'","'","'270-495","'123-225","'382","'173","'-",
"'P. avium","'","'","'","'","'","'","'","'","'",
"'USA","'3-11","'7-25","'3","'12","'1,450-3,000","'658-1,361","'2,360","'1,070","'9+",
"'USSR","'7-8","'15-18","'","'","'1,640-2,770","'3,616-6,108","'4,740","'2,150","'",
"'P. cerasifera","'-","'5","'10","'","'782-1,330","'355-603","'994","'451","'7+",
"'P. cerasus","'-","'","'9","'20","'1,510-4,000","'685-1,815","'2,910","'1,320","'6+",
"'P. domestica","'-","'","'5","'10","'416-907","'189-411","'597","'271","'5+",
"'P. d. var. insititia","'","'","'3","'7","'625-1,920","'284-871","'1,380","'626","'3+",
"'P. dulcis","'","'","'","'","'126-225","'57-102","'181","'82","'3+",
"'P. emarginata","'","'","'","'25","'4,120-8,790","'1,869-3,987","'7,020","'3,184","'6+",
"'P. ilicifolia","'-","'","'","'","'200-240","'91-109","'220","'100","'2+",
"'P. mahaleb","'9-11","'20-25","'","'","'4,800-5,600","'2,177-2,540","'5,200","'2,359","'",
"'P. munsoniana","'","'","'","'","'900-2,240","'408-1,016","'1,690","'767","'3+",
"'P. padus","'-","'","'9","'20","'6,600-12,300","'2,994-5,580","'8,910","'4,042","'5+",
"'P. pensylvanica","'7-12","'16-27","'","'","'8,000-21,800","'3,629-9,889","'14,200","'6,442","'6+",
"'P. persica","'","'","'9","'20","'72-244","'33-111","'156","'71","'6+",
"'P. pumila","'","'","'","'","'","'","'","'","'",
"'typical","'-","'","'","'","'2,460-4,000","'1,116-1,815","'2,920","'1,325","'4+",
"'var. besseyi","'7-13 15-28","'10","'21","'","'1,500-4,000","'681-1,815","'2,400","'1,090","'10+",
"'P. serotina fresh seeds","'","'","'9","'20","'2,800-6,040","'1,270-2,740","'4,240","'1,923","'68",
"'fresh & stored seeds","'6-15","'14-33","'10","'21","'2,840-13,800","'1,288-6,260","'5,370","'2,436","'197",
"'P. spinosa","'","'","'5","'10","'1,970-2,670","'894-1,211","'2,240","'1,016","'",
"'P. subcordata","'-","'","'-","'-","'450-631","'204-286","'556","'252","'4+",
"'P. tomentosa","'3-5","'7-12","'5","'10","'1,730-6,400","'785-2,903","'4,740","'2,150","'9+",
"'P. virginiana","'8-11","'18-25","'9","'20","'3,010-8,400","'1,315-3,810","'4,790","'2,173","'19",
