Species,Flowering,Fruit ripening,Color of ripe fruit*,pdf_table_number,genus_name
NOT_SELECTED C. gestivalis,Mar,May-June,"Lustrous, scarlet",2,Crataegus
NOT_SELECTED C. X anomala,May,Sept-Oct,Bright crimson,2,Crataegus
NOT_SELECTED C. berberifolia,Mar-Apr,Oct,Orange with red face,2,Crataegus
NOT_SELECTED C. brachyacantha,Apr-May,Aug,Bright blue with white wax,2,Crataegus
NOT_SELECTED C. brainerdii,May-June,Sept-Oct,Red,2,Crataegus
NOT_SELECTED C. calpodendron,May-June,Sept-Oct,Orange-red to red,2,Crataegus
NOT_SELECTED C. chrysocarpa,May-June,Aug-Sept,Yellow to orange to crimson,2,Crataegus
NOT_SELECTED C. coccinoides,May,Oct,"Glossy, dark crimson",2,Crataegus
NOT_SELECTED C. crus-galli,June,Oct,Dull red,2,Crataegus
NOT_SELECTED C. dilatata,May,Sept,Scarlet with dark spots,2,Crataegus
NOT_SELECTED C. douglasii,May,Aug-Sept,"Lustrous, black to chestnut-brown",2,Crataegus
NOT_SELECTED C. erythropoda,Apr-May,Oct,"Red to wine purple, brown, or black",2,Crataegus
NOT_SELECTED C. flabellata,May,Sept,Crimson,2,Crataegus
NOT_SELECTED C. flava,Apr,Oct,Dark orange-brown or yellow,2,Crataegus
NOT_SELECTED C. greggiana,Apr,Oct-Nov,Bright red,2,Crataegus
NOT_SELECTED C. harbisonii,May,Oct,Bright red or orange-red,2,Crataegus
C. intricata,May-June,Oct,Greenish or reddish brown,2,Crataegus
NOT_SELECTED C. lacrimata,Apr,Aug,Dull yellow or orange or red,2,Crataegus
C. laevigata,Apr-May,Sept-Oct,Deep red,2,Crataegus
C. marshallii,Apr-May,Oct,Bright scarlet,2,Crataegus
NOT_SELECTED C. mollis,May,Aug-Sept,Scarlet with large dark dots,2,Crataegus
C. monogyna,May,Sept-Oct,Bright red,2,Crataegus
C. nitida,May,Oct,Dull red covered with white wax,2,Crataegus
NOT_SELECTED C. opaca,Feb-Mar,May,Lustrous scarlet with pale dots,2,Crataegus
C. pedicellata,May,Sept,"Glossy, scarlet",2,Crataegus
NOT_SELECTED C. persimilis,May-June,Oct,Bright red,2,Crataegus
C. phaenopyrum,May,Sept-Oct,Lustrous scarlet,2,Crataegus
NOT_SELECTED C. piperi,May-June,Aug-Sept,Salmon-orange to scarlet,2,Crataegus
C. pruinosa,May-June,Oct-Nov,Dark purple-red,2,Crataegus
C. pulcherrima,Apr-May,Sept-Oct,Red,2,Crataegus
NOT_SELECTED C. punctata,May-June,Sept-Oct,Dull red or bright yellow,2,Crataegus
C. reverchonii,May,Oct,Shiny or dull red,2,Crataegus
C. rufula,Mar-Apr,June-July,Red,2,Crataegus
C. saligna,May,Oct,Red to blue-black,2,Crataegus
C. sanguineat,May,Aug-Sept,Bright red,2,Crataegus
C. spathulata,Apr-May,Sept-Oct,Red,2,Crataegus
C. succulenta,May-June,Sept-Oct,Bright red,2,Crataegus
C. tracyi,Apr-May,Sept-Oct,Orange-red,2,Crataegus
C. triflora,May,Oct,"Red, hairy",2,Crataegus
C. uniflora,Apr-May,Sept-Oct,Yellow to dull red to brown,2,Crataegus
C. viridis,Apr-May,Sept-Oct,"Bright red, orange-red, yellow",2,Crataegus
