datasetID,study,entered.by,genus,species,variety,woody,crop,source.population,provenance.lat,provenance.long,provenance.altitude,continent,no.indiv.collected,year.collected,year.germination,storage.type,storage.time,storage.humidity,storage.temp,treatment,chill.temp,chill.duration,germ.temp,other.treatment,photoperiod,chemical,chemcial.concent,trt.duration,scarification,scarif.type,soaking,soaked.in,soaking.duration,seed.mass.given,respvar,response,error.type,resp.error,reps,n.per.rep,germ.duration,germ.tim.zero,figure,Notes
Carpenter92,exp1,HHN,Coreopsis,lanceolata,NA,N,N,"Florida, USA",NA,NA,NA,North America,NA,1990,1990,NA,61,NA,NA,dark,NA,NA,10,NA,0,NA,NA,NA,N,NA,Y,captan,NA,N,per.germ,22,NA,NA,4,100,36,"other, end of storage",table 1,
Carpenter92,exp1,HHN,Coreopsis,lanceolata,NA,N,N,"Florida, USA",NA,NA,NA,North America,NA,1990,1990,NA,61,NA,NA,dark,NA,NA,10,NA,0,NA,NA,NA,N,NA,Y,captan,NA,N,T50,16,NA,NA,4,100,36,"other, end of storage",table 1,
Carpenter92,exp1,HHN,Coreopsis,lanceolata,NA,N,N,"Florida, USA",NA,NA,NA,North America,NA,1990,1990,NA,61,NA,NA,dark,NA,NA,10,NA,0,NA,NA,NA,N,NA,Y,captan,NA,N,T90-T10,13,NA,NA,4,100,36,"other, end of storage",table 1,
Carpenter92,exp1,HHN,Coreopsis,lanceolata,NA,N,N,"Florida, USA",NA,NA,NA,North America,NA,1990,1990,NA,61,NA,NA,dark,NA,NA,15,NA,0,NA,NA,NA,N,NA,Y,captan,NA,N,per.germ,48,NA,NA,4,100,36,"other, end of storage",table 1,
Carpenter92,exp1,HHN,Coreopsis,lanceolata,NA,N,N,"Florida, USA",NA,NA,NA,North America,NA,1990,1990,NA,61,NA,NA,dark,NA,NA,15,NA,0,NA,NA,NA,N,NA,Y,captan,NA,N,T50,10,NA,NA,4,100,36,"other, end of storage",table 1,
Carpenter92,exp1,HHN,Coreopsis,lanceolata,NA,N,N,"Florida, USA",NA,NA,NA,North America,NA,1990,1990,NA,61,NA,NA,dark,NA,NA,15,NA,0,NA,NA,NA,N,NA,Y,captan,NA,N,T90-T10,8,NA,NA,4,100,36,"other, end of storage",table 1,
Carpenter92,exp1,HHN,Coreopsis,lanceolata,NA,N,N,"Florida, USA",NA,NA,NA,North America,NA,1990,1990,NA,61,NA,NA,dark,NA,NA,20,NA,0,NA,NA,NA,N,NA,Y,captan,NA,N,per.germ,33,NA,NA,4,100,36,"other, end of storage",table 1,
Carpenter92,exp1,HHN,Coreopsis,lanceolata,NA,N,N,"Florida, USA",NA,NA,NA,North America,NA,1990,1990,NA,61,NA,NA,dark,NA,NA,20,NA,0,NA,NA,NA,N,NA,Y,captan,NA,N,T50,14,NA,NA,4,100,36,"other, end of storage",table 1,
Carpenter92,exp1,HHN,Coreopsis,lanceolata,NA,N,N,"Florida, USA",NA,NA,NA,North America,NA,1990,1990,NA,61,NA,NA,dark,NA,NA,20,NA,0,NA,NA,NA,N,NA,Y,captan,NA,N,T90-T10,11,NA,NA,4,100,36,"other, end of storage",table 1,
Carpenter92,exp1,HHN,Coreopsis,lanceolata,NA,N,N,"Florida, USA",NA,NA,NA,North America,NA,1990,1990,NA,61,NA,NA,dark,NA,NA,25,NA,0,NA,NA,NA,N,NA,Y,captan,NA,N,per.germ,7,NA,NA,4,100,36,"other, end of storage",table 1,
Carpenter92,exp1,HHN,Coreopsis,lanceolata,NA,N,N,"Florida, USA",NA,NA,NA,North America,NA,1990,1990,NA,61,NA,NA,dark,NA,NA,25,NA,0,NA,NA,NA,N,NA,Y,captan,NA,N,T50,18,NA,NA,4,100,36,"other, end of storage",table 1,
Carpenter92,exp1,HHN,Coreopsis,lanceolata,NA,N,N,"Florida, USA",NA,NA,NA,North America,NA,1990,1990,NA,61,NA,NA,dark,NA,NA,25,NA,0,NA,NA,NA,N,NA,Y,captan,NA,N,T90-T10,15,NA,NA,4,100,36,"other, end of storage",table 1,
Carpenter92,exp1,HHN,Coreopsis,lanceolata,NA,N,N,"Florida, USA",NA,NA,NA,North America,NA,1990,1990,NA,61,NA,NA,dark,NA,NA,30,NA,0,NA,NA,NA,N,NA,Y,captan,NA,N,per.germ,0,NA,NA,4,100,36,"other, end of storage",table 1,
Carpenter92,exp1,HHN,Coreopsis,lanceolata,NA,N,N,"Florida, USA",NA,NA,NA,North America,NA,1990,1990,NA,61,NA,NA,dark,NA,NA,30,NA,0,NA,NA,NA,N,NA,Y,captan,NA,N,T50,NA,NA,NA,4,100,36,"other, end of storage",table 1,
Carpenter92,exp1,HHN,Coreopsis,lanceolata,NA,N,N,"Florida, USA",NA,NA,NA,North America,NA,1990,1990,NA,61,NA,NA,dark,NA,NA,30,NA,0,NA,NA,NA,N,NA,Y,captan,NA,N,T90-T10,NA,NA,NA,4,100,36,"other, end of storage",table 1,
Carpenter92,exp2,HHN,Coreopsis,lanceolata,NA,N,N,"Florida, USA",NA,NA,NA,North America,NA,1990,1990,NA,NA,NA,NA,NA,NA,NA,15,12-h alternating temperature,NA,NA,NA,NA,N,NA,Y,captan,NA,N,per.germ,51,NA,NA,4,100,45,"other, end of storage",table 2,
Carpenter92,exp2,HHN,Coreopsis,lanceolata,NA,N,N,"Florida, USA",NA,NA,NA,North America,NA,1990,1990,NA,NA,NA,NA,NA,NA,NA,15,12-h alternating temperature,NA,NA,NA,NA,N,NA,Y,captan,NA,N,T50,10,NA,NA,4,100,45,"other, end of storage",table 2,
