datasetID,study,entered.by,genus,species,variety,woody,crop,source.population,provenance.lat,provenance.long,provenance.altitude,continent,no.indiv.collected,year.collected,year.germination,storage.type,storage.time,storage.humidity,storage.temp,treatment,chill.temp,chill.duration,germ.temp,other.treatment,photoperiod,chemical,chemical.concent,trt.duration,scarification,scarif.type,soaking,soaked.in,soaking.duration,seed.mass.given,respvar,response,error.type,resp.error,reps,n.per.rep,germ.duration,germ.tim.zero,figure,Notes
moeini21,exp1,JN,Lepyrodiclis,holosteoides,NA,N,N,"Shahriar area near Bagh-e Komesh, Tehran, Iran",35.67694444,51.80805556,1160,Asia,NA,2017,2017,dry,14,40-50,25,Control,NA,NA,NA,NA,16,Water,NA,NA,N,NA,N,NA,NA,N,per.germ,60.076,SE,4.282,4,50,21,end of treatment,1,"For all exp1 , the text implies that germination was only observed after the respective treatments had been applied and finished"
moeini21,exp1,JN,Lepyrodiclis,holosteoides,NA,N,N,"Shahriar area near Bagh-e Komesh, Tehran, Iran",35.67694444,51.80805556,1160,Asia,NA,2017,2017,dry,14,40-50,25,Stratification,4,5,NA,NA,16,NA,NA,NA,N,NA,N,NA,NA,N,per.germ,80.479,SE,2.016,4,50,21,end of treatment,1,
moeini21,exp1,JN,Lepyrodiclis,holosteoides,NA,N,N,"Shahriar area near Bagh-e Komesh, Tehran, Iran",35.67694444,51.80805556,1160,Asia,NA,2017,2017,dry,14,40-50,25,Stratification,4,10,NA,NA,16,NA,NA,NA,N,NA,N,NA,NA,N,per.germ,92.191,SE,2.896,4,50,21,end of treatment,1,
moeini21,exp1,JN,Lepyrodiclis,holosteoides,NA,N,N,"Shahriar area near Bagh-e Komesh, Tehran, Iran",35.67694444,51.80805556,1160,Asia,NA,2017,2017,dry,14,40-50,25,Stratification,4,15,NA,NA,16,NA,NA,NA,N,NA,N,NA,NA,N,per.germ,97.859,SE,3.275,4,50,21,end of treatment,1,
moeini21,exp1,JN,Lepyrodiclis,holosteoides,NA,N,N,"Shahriar area near Bagh-e Komesh, Tehran, Iran",35.67694444,51.80805556,1160,Asia,NA,2017,2017,dry,14,40-50,25,Stratification,4,20,NA,NA,16,NA,NA,NA,N,NA,N,NA,NA,N,per.germ,93.829,SE,3.275,4,50,21,end of treatment,1,
moeini21,exp1,JN,Lepyrodiclis,holosteoides,NA,N,N,"Shahriar area near Bagh-e Komesh, Tehran, Iran",35.67694444,51.80805556,1160,Asia,NA,2017,2017,dry,14,40-50,25,GA3,NA,NA,NA,NA,16,GA3,49.88,NA,N,NA,N,NA,NA,N,per.germ,84.005,SE,1.763,4,50,21,end of treatment,1,
moeini21,exp1,JN,Lepyrodiclis,holosteoides,NA,N,N,"Shahriar area near Bagh-e Komesh, Tehran, Iran",35.67694444,51.80805556,1160,Asia,NA,2017,2017,dry,14,40-50,25,GA3,NA,NA,NA,NA,16,GA4,99.75,NA,N,NA,N,NA,NA,N,per.germ,83.501,SE,1.008,4,50,21,end of treatment,1,
moeini21,exp1,JN,Lepyrodiclis,holosteoides,NA,N,N,"Shahriar area near Bagh-e Komesh, Tehran, Iran",35.67694444,51.80805556,1160,Asia,NA,2017,2017,dry,14,40-50,25,GA3,NA,NA,NA,NA,16,GA5,149.98,NA,N,NA,N,NA,NA,N,per.germ,83.501,SE,3.779,4,50,21,end of treatment,1,
moeini21,exp1,JN,Lepyrodiclis,holosteoides,NA,N,N,"Shahriar area near Bagh-e Komesh, Tehran, Iran",35.67694444,51.80805556,1160,Asia,NA,2017,2017,dry,14,40-50,25,KNO3,NA,NA,NA,NA,16,KNO3,1.011,NA,N,NA,N,NA,NA,N,per.germ,79.723,SE,1.259,4,50,21,end of treatment,1,
moeini21,exp1,JN,Lepyrodiclis,holosteoides,NA,N,N,"Shahriar area near Bagh-e Komesh, Tehran, Iran",35.67694444,51.80805556,1160,Asia,NA,2017,2017,dry,14,40-50,25,KNO3,NA,NA,NA,NA,16,KNO3,2.022,NA,N,NA,N,NA,NA,N,per.germ,81.486,SE,4.030,4,50,21,end of treatment,1,
