"'Species","'Growth habit","'Height at maturity (m)","'Year first cultivated","'Minimum seed-bearing age (yrs)","'Years between large seedcrops",
"'A. glutinosa","'Tree","'to 35","'1866","'6-7","'-",
"'A. incana","'Tree","'to 20","'-","'under 25","'I-4",
"'ssp. rugosa","'Tree or shrub","'to 8","'-","'-","'-",
"'ssp. tenuifolia","'Tree or shrub","'1-9","'1880","'-","'-",
"'A. nepalensis (Hawaii)","'Tree","'15-30","'1916","'10","'-",
"'A. rhombifolia","'Tree","'20-25","'1885","'-","'-",
"'A. rubra","'Tree","'12-27","'1884","'3-4","'3-5",
"'A. serrulata","'Tree or shrub","'to 8","'1769","'-","'-",
"'A. viridis","'","'","'","'","'",
"'ssp. crispa","'Shrub","'to 3","'1782","'-","'-",
"'ssp. sinuata","'Tree or shrub","'to 12","'1903","'-","'-",
,,,,,

'Confidence Scores % (Table Cell)
""'95.01953125","'93.60351563","'95.01953125","'93.99414063","'94.53125000","'95.16601563",
"'93.11523438","'91.74804688","'93.11523438","'92.08984375","'92.67578125","'93.26171875",
"'83.25195313","'81.98242188","'83.25195313","'82.32421875","'82.86132813","'83.39843750",
"'85.59570313","'84.27734375","'85.59570313","'84.61914063","'85.15625000","'85.69335938",
"'84.61914063","'83.34960938","'84.61914063","'83.69140625","'84.22851563","'84.76562500",
"'86.96289063","'85.64453125","'86.96289063","'85.98632813","'86.52343750","'87.06054688",
"'89.16015625","'87.84179688","'89.16015625","'88.18359375","'88.72070313","'89.30664063",
"'85.10742188","'83.83789063","'85.10742188","'84.17968750","'84.66796875","'85.25390625",
"'93.60351563","'92.18750000","'93.60351563","'92.57812500","'93.11523438","'93.75000000",
"'41.77246094","'41.77246094","'41.77246094","'41.77246094","'41.77246094","'41.77246094",
"'59.03320313","'58.15429688","'59.03320313","'58.39843750","'58.74023438","'59.13085938",
"'84.13085938","'82.86132813","'84.13085938","'83.20312500","'83.69140625","'84.22851563",
