osp_sps,optimum_chilling,optimum_forcing,baskin_table
Acer_barbinerve,NA,NA,NA
Acer_campestre,90,23,10.14
Acer_ginnala,"45,60",15,10.14
Acer_negundo,60-120,10,10.14
Acer_pensylvanicum,90-180,"5,15/5",10.14
Acer_platanoides,"60,84,105","10,20,25/3",10.14
Acer_pseudoplatanus,"49-63,84","20, 25/3",10.14
Acer_rubrum,"90,42-56","5-15,30/20",10.14
Acer_saccharinum,0,30,10.14
Acer_tataricum,105,"15,20",10.14
Aesculus_flava,NA,NA,NA
Aesculus_hippocastanum,56-84,16,NA
Aesculus_parviflora,NA,NA,NA
Alnus_glutinosa,252,"20-28,15",10.14
Alnus_incana,NA,NA,NA
Alnus_maximowiczii,NA,NA,NA
Amelanchier_florida,NA,NA,NA
Amelanchier_laevis,120,20,10.14
Amorpha_fruticosa,NA,NA,NA
Aronia_melanocarpa,NA,NA,NA
Berberis_dielsiana,NA,NA,NA
Betula_alleghaniensis,NA,NA,NA
Betula_lenta,"28,65-75",15,10.14
Betula_nana,NA,NA,NA
Betula_papyrifera,NA,NA,NA
Betula_pendula,NA,NA,NA
Betula_populifolia,55,32,10.14
Betula_pubescens,NA,NA,NA
Buddleja_albiflora,NA,NA,NA
Buddleja_alternifolia,NA,NA,NA
Buddleja_davidii,NA,NA,NA
Caragana_pygmaea,NA,NA,NA
Carpinus_betulus,84-108,"20,20/3",NA
Carpinus_laxiflora,30,30/20,10.14
Carpinus_monbeigiana,NA,NA,NA
Carya_cordiformis,NA,NA,NA
Carya_laciniosa,NA,NA,NA
Celtis_caucasica,NA,NA,NA
Celtis_laevigata,NA,NA,NA
Celtis_occidentalis,60-90,21,10.14
Cephalanthus_occidentalis,NA,NA,NA
Cercidiphyllum_japonicum,NA,NA,NA
Cercidiphyllum_magnificum,8,25,10.14
Cercis_canadensis,35-56,21,10.14
Cercis_chinensis,0,"21,30/20",10.14
Cladrastis_lutea,0,room,10.14
Cornus_alba,NA,NA,NA
Cornus_kousa,120,"21,g.h.",NA
Cornus_mas,NA,NA,NA
Corylopsis_sinensis,NA,NA,NA
Corylopsis_spicata,NA,NA,NA
Corylus_cornuta,NA,NA,NA
Decaisnea_fargesii,NA,NA,NA
Deutzia_gracilis,NA,NA,NA
Deutzia_scabra,NA,NA,NA
Elaeagnus_ebbingei,NA,NA,NA
Eleutherococcus_senticosus,NA,NA,NA
Eleutherococcus_setchuenensis,NA,NA,NA
Eleutherococcus_sieboldianus,NA,NA,NA
Euonymus_europaeus,NA,NA,NA
Euonymus_latifolius,NA,NA,NA
Fagus_crenata,NA,NA,NA
Fagus_engleriana,NA,NA,NA
Fagus_grandifolia,90,30/20,10.14
Fagus_orientalis,56,20,10.14
Fagus_sylvatica,84,"20,4",NA
Forsythia_ovata,NA,NA,NA
Forsythia_suspensa,NA,NA,NA
Fraxinus_americana,56-140,30/20,10.14
Fraxinus_chinensis,NA,NA,NA
Fraxinus_excelsior,"90,365","5,10,15/5",10.14
Fraxinus_latifolia,NA,NA,NA
Fraxinus_nigra,"60-90,126","30/20,20-21",10.14
Fraxinus_ornus,56,"25/25,26",10.14
Fraxinus_pennsylvanica,90,25/18,10.14
Hamamelis_japonica,NA,NA,NA
Hamamelis_vernalis,NA,NA,NA
Hamamelis_virginiana,NA,NA,NA
Heptacodium_miconioides,NA,NA,NA
Hibiscus_syriacus,NA,NA,NA
Hydrangea_arborescens,NA,NA,NA
Hydrangea_involucrata,NA,NA,NA
Hydrangea_serrata,NA,NA,NA
Ilex_mucronata,NA,NA,NA
Juglans_ailantifolia,NA,NA,NA
Juglans_cinerea,60-120,21,10.14
Kalmia_angustifolia,NA,NA,NA
Ligustrum_tschonoskii,NA,NA,NA
Liquidambar_orientalis,NA,NA,NA
Liquidambar_styraciflua,"56,30-60,0-32","24/16,32/24,30/20",10.14
Liriodendron_tulipifera,70,21,10.14
Lonicera_alpigena,NA,NA,NA
Lonicera_caerulea,NA,NA,NA
Lonicera_canadensis,NA,NA,NA
Lonicera_maximowiczii,NA,NA,NA
Lyonia_ligustrina,NA,NA,NA
Nothofagus_antarctica,NA,NA,NA
Nyssa_sylvatica,60-90,21,10.14
Oemleria_cerasiformis,NA,NA,NA
Orixa_japonica,NA,NA,NA
Ostrya_carpinifolia,NA,NA,NA
Ostrya_virginiana,140,25/10,10.14
Paeonia_rockii,NA,NA,NA
Parrotia_persica,NA,NA,NA
Parrotiopsis_jaquemontiana,NA,NA,NA
Photinia_villosa,NA,NA,NA
Populus_deltoides,0,32/room,10.14
Populus_grandidentata,0,29-32,10.14
Populus_koreana,NA,NA,NA
Populus_tremula,NA,NA,NA
