"Genus_species","Dormancy.Class"
"Sambucus caerulea","MPD"
"Sambucus canadensis","MPD"
"Sambucus glauca","MPD"
"Cotinus coggygria","PYPD"
"Cotinus obovatus","PYPD"
"Baccharis halimifolia","PD"
"Berberis repens","PD"
"Berberis thunbergii","PD"
"Berberis vulgaris","PD"
"Mahonia aquifolium","PD"
"Mahonia fremontii","PD"
"Mahonia nevinii","PD"
"Mahonia repens","PD"
"Alnus crispa","PD"
"Alnus glutinosa","PD"
"Alnus incana","ND"
"Alnus rubra","ND"
"Alnus rubra","PD"
"Alnus sinuata","PD"
"Alnus tenuifolia","ND"
"Alnus tenuifolia","PD"
"Corylus avellana","PD"
"Corylus cornuta","PD"
"Celtis occidentalis","PD"
"Euonymus atropurpureusW","PD"
"Euonymus europaeus","PD"
"Euonymus maackii","PD"
"Euonymus verrucosa","PD"
"Cornus amomum","PD"
"Cornus canadensis","PD"
"Cornus florida","PD"
"Cornus florida var. urbiniana","ND"
"Cornus florida var. urbiniana","PD"
"Cornus kousa","PD"
"Cornus mas","PD"
"Cornus nuttallii","PD"
"Cornus stolonifera","PD"
"Nyssa sylvatica","PD"
"Elaeagnus angustifolia","PD"
"Elaeagnus commutata","PD"
"Elaeagnus umbellata","PD"
"Shepherdia argentea","PD"
"Shepherdia canadensis","PD"
"Acacia auriculiformis","PY"
"Acacia farnesiana","PY"
"Acacia koa","PY"
"Acacia mangium","PY"
"Acacia mearnsii","PY"
"Acacia melanoxylon","PY"
"Acacia nilotica","PY"
"Cercis canadensis","PYPD"
"Prosopis juliflora","PY"
"Quercus acutissima","ND"
"Quercus agrifolia","ND"
"Quercus agrifolia","PD"
"Quercus alba","PD"
"Quercus borealis","PD"
"Quercus chrysolepis","PD"
"Quercus coccinea","PD"
"Quercus douglasii","ND"
"Quercus dumosa","ND"
"Quercus emoryi","ND"
"Quercus falcata","PD"
"Quercus gambelii","ND"
"Quercus garryana","ND"
"Quercus ilicifolia","PD"
"Quercus lanuginosa","ND"
"Quercus lyrata","PD"
"Quercus macrocarpa","PD"
"Quercus nigra","PD"
"Quercus nuttallii","PD"
"Quercus palustris","PD"
"Quercus petraea","PD"
"Quercus phellos","PD"
"Quercus prinus","PD"
"Quercus pyrenaica","ND"
"Quercus robur","PD"
"Quercus rubra","PD"
"Quercus shumardii","PD"
"Quercus suber","ND"
"Quercus suber","PD"
"Quercus vaccinifolia","PD"
"Quercus velutina","PD"
"Quercus wislizenii","PD"
"Ribes aureum","MPD"
"Ribes cereum","MPD"
"Ribes cynosbati","MPD"
"Ribes hudsonianum","MPD"
"Ribes lacustre","MPD"
"Ribes montigenum","MPD"
"Ribes nevadense","MPD"
"Ribes roezlii","MPD"
"Ribes rotundifolium","MPD"
"Ribes sanguineum","MPD"
"Philadelphus lewisi","PD"
"Philadelphus lewisii","PD"
"Carya glabra","PD"
"Carya illinoinsis","PD"
"Carya ovata","PD"
"Fraxinus americana","PD"
"Fraxinus dipetala","PD"
"Fraxinus excelsior","MPD"
"Fraxinus lanceolata","PD"
"Fraxinus nigra","MPD"
"Fraxinus ornus","PD"
"Fraxinus pennsylvanica","PD"
"Fraxinus uhdei","PD"
"Fraxinus velutina","PD"
"Syringa amurensis","PD"
"Pinus albicaulis","PD"
"Pinus aristata","PD"
"Pinus attenuata","ND"
"Pinus banksiana","PD"
"Pinus canariensis","ND"
"Pinus caribaea","ND"
"Pinus caribaea","PD"
"Pinus cembra","PD"
"Pinus cembroides","PD"
"Pinus clausa","PD"
"Pinus coulteri","PD"
"Pinus densiflora","PD"
"Pinus echinata","PD"
"Pinus edulis","ND"
"Pinus edulis","PD"
"Pinus excelsa","PD"
"Pinus flexilis","PD"
"Pinus gerardiana","ND"
"Pinus glabra","PD"
"Pinus halepensis","ND"
"Pinus heldreichii","PD"
"Pinus jeffreyi","PD"
"Pinus kesiya","ND"
"Pinus khasya","ND"
"Pinus khasya","PD"
"Pinus koraiensis","PD"
"Pinus lambertiana","PD"
"Pinus leucodermis","PD"
"Pinus longifolia","ND"
"Pinus massoniana","ND"
"Pinus massoniana","PD"
"Pinus merkusii","ND"
"Pinus monophylla","PD"
"Pinus monticola","PD"
"Pinus mugo","ND"
"Pinus nigra","ND"
"Pinus palustris","PD"
"Pinus peuce","PD"
"Pinus pinaster","PD"
"Pinus pinea","PD"
"Pinus pumila","PD"
"Pinus quadrifolia","ND"
"Pinus quadrifolia","PD"
"Pinus resinosa","PD"
"Pinus rigida","PD"
"Pinus roxburghii","ND"
"Pinus sabiniana","PD"
"Pinus sibirica","PD"
"Pinus strobus","PD"
"Pinus sylvestris","ND"
"Pinus taeda","PD"
"Pinus thunbergii","PD"
"Pinus wallichiana","PD"
"Tsuga canadensis","PD"
"Tsuga heterophylla","PD"
"Tsuga heterophyllad","PD"
"Tsuga mertensiana","PD"
"Ceanothus americana","PYPD"
"Ceanothus americanus","PYPD"
"Ceanothus arboreus","PYPD"
"Ceanothus cordulatus","PYPD"
"Ceanothus crassifolius","PYPD"
"Ceanothus cuneatus","PY"
"Ceanothus cuneatus","PYPD"
"Ceanothus divaricatus","PYPD"
"Ceanothus diversifolius","PYPD"
"Ceanothus fendleri","PY"
"Ceanothus greggii","PYPD"
