Species,Flowering,Fruit ripening,Seed dispersal,pdf table number,genus name,Color of ripe fruit,Height of mature trees (m),Year first cultivated,Location,Color of ripe fruits,Fruit drop,Location  altitude,Location  elevation,Height at maturity (m),Growth habit  maximum height,Flower color,Flowering habit,Dispersal,Cone ripening,Seed ripening  dispersal,Origin,Color of ripe fruit,Seed size (mm),Diam of ripe fruit (mm),Cleaned  (kg),seeds wt  (lb),Fruit  seed ripening,Location  elevation (m),Tree ht (m),Age (yrs),Interval (yrs)
A. circinatum,Mar-June,Sept-Oct,Oct-Nov,3,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. ginnala,Apr-June,Aug-Sept,Sept-Jan,3,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. glabrum var. glabrum,Apr-June,Aug-Oct,Sept-Feb,3,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. macrophyllum,Apr-May,Sept-Oct,Oct-Mar,3,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. negundo,Mar-May,Aug-Oct,Sept-Mar,3,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. palmatum,May-June,Aug-Sept,Sept-Oct,3,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. pensylvanicum,May-June,Sept-Oct,Oct-Feb,3,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. platanoides,Apr-June,Sept-Oct,Oct-Nov,3,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. pseudoplatanus,Apr-June,Aug-Oct,Sept-Nov,3,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. rubrum,Mar-May,Apr-June,Apr-July,3,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. saccharinum,Feb-May,Apr-June,Apr-June,3,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. saccharum,Mar-May,Sept-Oct,Oct-Dec,3,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. spicatum,May-June,Sept-Oct,Oct-Dec,3,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. nigra,,,,2,Sambucus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. nigra spp. canadensis,June-July,July-Sept,Aug-Oct,2,Sambucus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. nigra spp. cerulea,May-July,Aug-Sept,Aug-Oct,2,Sambucus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S. racemosa var. racemosa,Apr-July,June-Aug,June-Nov,2,Sambucus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M. baccata,May,Aug-Oct,NA,2,Malus,Red or yellow,12.2,1784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M. coronaria,Mar-May,Sept-Nov,NA,2,Malus,Yellow-green,9.2,1724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M. floribunda,May,,NA,2,Malus,Red or yellow,3.6-10.0,1862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M. fusca,,Oct-Nov,NA,2,Malus,Green-yellow to yellow & red,8-12.2,1836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M. ioensis,May-June,Sept-Oct,NA,2,Malus,Greenish waxy,,1885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M. pumila,May,Aug-Oct,NA,2,Malus,Yellow to red,15.4,Ancient times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M. X robusta,Apr-May,,NA,2,Malus,Red or yellow-green,,1815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M. sargentii,,,NA,2,Malus,Red,1.8-2.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
