Species,Height at maturity  (m),Year first cultivated,Minimum seed bearing age (yr),Years between large seedcrops,pdf table number,pdf_page_number,genus name,Height at maturity (m),Years between large seed crops,Cone ripeness Pre ripe color,criteria Ripe color,Years between large crops,Fruit ripeness Preripe color,Minimum seed bearing age ((yr)s),Fruit Preripe color,ripeness criteria Ripe color,Height (m)at maturity,Minimum seed bearing age ((yr)s),Fruit Preripe,color Ripe,X (m),cultivated,age ((yr)s),crops,Ripe fruit color,Diameter,Length,Mature tree height (m),Age at onset seed bearing (yr),Years between cone crops,Mature height (m),Cone length (cm),Color of ripe cones,Age at onset seed bearing,Years large Time,between seedcrops Location,Years between seedcrops
P. acuminata,10.7-15.4 (18.5),1898,10-May,I,2,858,Populus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. alba,15.4-42.1,LC,15-Oct,,2,858,Populus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. angustifolia,10.7-15.4 (18.5),1893,,I,2,858,Populus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. balsamifera,18.5-36.3,Before 1689,10-Aug,,2,858,Populus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. balsamifera spp. trichocarpa,15.4-61.5,1892,10,,2,858,Populus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. X canescens,29.2-30.8 (40),LC,15-Aug,,2,858,Populus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. deltoides,24.6-58.5,Before 1750,10,,2,858,Populus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spp. monilifera,12.3-30.8,1908,10,,2,858,Populus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spp. wislizeni,2.3-30.8 (40),1894,5,,2,858,Populus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. fremontii,15.4-30.8,1904,10-May,,2,858,Populus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. grandidentata,9.2-27.7 (30.8),1772,20-Oct,05-Apr,2,858,Populus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. heterophylla,24.6-27.3 (30.8),1656,10,,2,858,Populus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. laurifolia,to 15.4,1830,10-Aug,,2,858,Populus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. maximowiczii,to 30.2,Before 1890,10,I,2,858,Populus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. nigra,18.5-30.8,LC,12-Aug,|,2,858,Populus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. simonii,to 12.3+,1862,10,,2,858,Populus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. tremula,21.5-38.5,LC,10-Aug,4.5,2,858,Populus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. tremuloides,15.4-27.7 (30.8),1812,20-Oct,05-Apr,2,858,Populus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T. canadensis,NA,1736,20-30,NA,3,895,Tsuga,18-30,2-3 15,Yellow-green Green,Purple-brown Tan to brown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T. caroliniana,NA,1881,,NA,3,895,Tsuga,21-Dec,,Purple,Light brown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T. heterophylla,NA,1851,20-30,NA,3,895,Tsuga,18-75,08-May,Green with purple tips,Brown with red-brown tips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T. mertensiana,NA,1854,20-30,NA,3,895,Tsuga,7.5-45,I-5,Yellow-green to brown,Brown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M. alba,NA,1700s,5,NA,3,731,Morus,14-Mar,NA,NA,"White, pinkish, or purplish",,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M. microphylla,NA,,NA,NA,3,731,Morus,7.5,NA,NA,"Red, purple, or black",,Dark green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M. nigra,NA,1548,NA,NA,3,731,Morus,10,NA,NA,Purple to black,Yearly,Greenish red,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M. rubra,NA,1629,10,NA,3,731,Morus,12,NA,NA,"Dark red, dark purple to black",03-Feb,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. acutissima,NA,1862,NA,,2,933,Quercus,15,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. agrifolia,NA,1849,NA,,2,933,Quercus,23,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. alba,NA,1724,NA,10-Apr,2,933,Quercus,30,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. arizonica,NA,,NA,,2,933,Quercus,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. bicolor,NA,1800,NA,05-Mar,2,933,Quercus,30,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. cerris,NA,1735,NA,,2,933,Quercus,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. chrysolepis,NA,1877,NA,04-Feb,2,933,Quercus,30,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. coccinea,NA,1691,NA,05-Mar,2,933,Quercus,30,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. douglasii,NA,,NA,03-Feb,2,933,Quercus,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. dumosa,NA,,NA,,2,933,Quercus,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. ellipsoidalis,NA,1902,NA,04-Feb,2,933,Quercus,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. emoryi,NA,,NA,,2,933,Quercus,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. falcata,NA,1763,NA,I-2,2,933,Quercus,27,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. gambelii,NA,,NA,,2,933,Quercus,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. garryana,NA,1873,NA,03-Feb,2,933,Quercus,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. grisea,NA,,NA,,2,933,Quercus,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. ilicifolia,NA,1800,NA,,2,933,Quercus,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. imbricaria,NA,1724,NA,04-Feb,2,933,Quercus,21,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. incana,NA,,NA,,2,933,Quercus,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. kelloggii,NA,1878,NA,03-Feb,2,933,Quercus,26,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q. laevis,NA,1834,NA,02-Jan,2,933,Quercus,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
