"Species","Height at maturity  (m)","Year first cultivated","Minimum seed bearing age (yr)","Years between large seedcrops","pdf table number","genus name","Height at maturity (m)","Years between large seed crops","Cone ripeness Pre ripe color","criteria Ripe color","Years between large crops","Fruit ripeness Preripe color","Minimum seed bearing age ((yr)s)","Fruit Preripe color","ripeness criteria Ripe color","Height (m)at maturity","Minimum seed bearing age ((yr)s)","Fruit Preripe","color Ripe","X (m)","cultivated","age ((yr)s)","crops","Ripe fruit color","Diameter","Length","Mature tree height (m)","Age at onset seed bearing (yr)","Years between cone crops","Mature height (m)","Cone length (cm)","Color of ripe cones","Age at onset seed bearing","Years large Time","between seedcrops Location","Years between seedcrops"
"P. acuminata","10.7-15.4 (18.5)","1898","5-10","I","2","Populus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. alba","15.4-42.1","LC","10-15","","2","Populus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. angustifolia","10.7-15.4 (18.5)","1893","","I","2","Populus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. balsamifera","18.5-36.3","Before 1689","8-10","","2","Populus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. balsamifera spp. trichocarpa","15.4-61.5","1892","10","","2","Populus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. X canescens","29.2-30.8 (40)","LC","8-15","","2","Populus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. deltoides","24.6-58.5","Before 1750","10","","2","Populus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spp. monilifera","12.3-30.8","1908","10","","2","Populus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spp. wislizeni","2.3-30.8 (40)","1894","5","","2","Populus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P. fremontii","15.4-30.8","1904","5-10","","2","Populus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
