Species,Flowering,Fruit.ripening,Seed.dispersal,pdf.table.number,pdf_page_number,genus.name,Color.of.ripe.fruit,Height.of.mature.trees..m.,Year.first.cultivated,Location,Color.of.ripe.fruits,Fruit.drop,Location..altitude,Location..elevation,Height.at.maturity..m.,Growth.habit..maximum.height,Flower.color,Flowering.habit,Dispersal,Cone.ripening,Seed.ripening..dispersal,Origin,Color.of.ripe.fruit.1,Seed.size..mm.,Diam.of.ripe.fruit..mm.,Cleaned...kg.,seeds.wt...lb.,Fruit..seed.ripening,Location..elevation..m.,Tree.ht..m.,Age..yrs.,Interval..yrs.
circinatum,Mar-June,Sept-Oct,Oct-Nov,3,206,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ginnala,Apr-June,Aug-Sept,Sept-Jan,3,206,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
glabrum var. glabrum,Apr-June,Aug-Oct,Sept-Feb,3,206,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
macrophyllum,Apr-May,Sept-Oct,Oct-Mar,3,206,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
negundo,Mar-May,Aug-Oct,Sept-Mar,3,206,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
palmatum,May-June,Aug-Sept,Sept-Oct,3,206,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pensylvanicum,May-June,Sept-Oct,Oct-Feb,3,206,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
platanoides,Apr-June,Sept-Oct,Oct-Nov,3,206,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pseudoplatanus,Apr-June,Aug-Oct,Sept-Nov,3,206,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rubrum,Mar-May,Apr-June,Apr-July,3,206,Acer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
