datasetID,study,entered.by,genus,species,variety,woody,crop,source.population,provenance.lat,provenance.long,provenance.altitude,continent,no.indiv.collected,year.collected,year.germination,storage.type,storage.time,storage.humidity,storage.temp,treatment,chill.temp,chill.duration,germ.temp,other.treatment,photoperiod,chemical,chemcial.concent,trt.duration,scarification,scarif.type,soaking,soaked.in,soaking.duration,seed.mass.given,respvar,response,error.type,resp.error,reps,n.per.rep,germ.duration,germ.tim.zero,figure,Notes,
Amooaghaie09,exp1,GG,Ferula,ovina,Boiss,N,N,"Isfahan, Iran ",,,,Asia,,2003,,,0,,,control,,0,,,,NA,,,N,,Y,water,1440,N,per.germ,0,,,4,15,28,,Table 1,Zero storage time for this study,
Amooaghaie09,exp1,GG,Ferula,ovina,Boiss,N,N,"Isfahan, Iran ",,,,Asia,,2003,,,0,,,control,,0,,,,NA,,,N,,Y,water,1440,N,per.germ,5,,,4,15,35,,Table 1,,
Amooaghaie09,exp1,GG,Ferula,ovina,Boiss,N,N,"Isfahan, Iran ",,,,Asia,,2003,,,0,,,control,,0,,,,NA,,,N,,Y,water,1440,N,per.germ,11,,,4,15,42,,Table 1,,
Amooaghaie09,exp1,GG,Ferula,ovina,Boiss,N,N,"Isfahan, Iran ",,,,Asia,,2003,,,0,,,control,,0,,,,NA,,,N,,Y,water,1440,N,per.germ,21,,,4,15,49,,Table 1,,
Amooaghaie09,exp1,GG,Ferula,ovina,Boiss,N,N,"Isfahan, Iran ",,,,Asia,,2003,,,0,,,control,,0,,,,NA,,,N,,Y,water,1440,N,per.germ,25,,,4,15,56,,Table 1,,
Amooaghaie09,exp1,GG,Ferula,ovina,Boiss,N,N,"Isfahan, Iran ",,,,Asia,,2003,,,0,,,GA3,,0,,,,GA3,500,1440,N,,NA,,,N,per.germ,0,,,4,15,28,,Table 1,,
Amooaghaie09,exp1,GG,Ferula,ovina,Boiss,N,N,"Isfahan, Iran ",,,,Asia,,2003,,,0,,,GA3,,0,,,,GA3,500,1440,N,,NA,,,N,per.germ,12,,,4,15,35,,Table 1,,
Amooaghaie09,exp1,GG,Ferula,ovina,Boiss,N,N,"Isfahan, Iran ",,,,Asia,,2003,,,0,,,GA3,,0,,,,GA3,500,1440,N,,NA,,,N,per.germ,23,,,4,15,42,,Table 1,,
Amooaghaie09,exp1,GG,Ferula,ovina,Boiss,N,N,"Isfahan, Iran ",,,,Asia,,2003,,,0,,,GA3,,0,,,,GA3,500,1440,N,,NA,,,N,per.germ,32,,,4,15,49,,Table 1,,
Amooaghaie09,exp1,GG,Ferula,ovina,Boiss,N,N,"Isfahan, Iran ",,,,Asia,,2003,,,0,,,GA3,,0,,,,GA3,500,1440,N,,NA,,,N,per.germ,33,,,4,15,56,,Table 1,,
