datasetID,study,entered.by,genus,species,variety,crop,woody,source.population,provenance.lat,provenance.long,provenance.altitude,continent,no.indiv.collected,year.collected,year.germination,storage.type,storage.time,storage.humidity,storage.temp,treatment,chill.temp,chill.duration,germ.temp,other.treatment,photoperiod,chemical,chemcial.concent,trt.duration,scarification,scarif.type,soaking,soaked.in,soaking.duration,seed.mass.given,respvar,response,error.type,resp.error,reps,n.per.rep,germ.duration,germ.tim.zero,figure,Notes
alhelal96,exp1,DM,Rumex,dentatus,NA,N,N,"Riyadh, Saudi Arabia",NA,NA,NA,Asia,NA,1992,NA,dry,NA,NA,4,dark,25,NA,15 - 25,N,0,NA,NA,7,N,NA,Y,water,720,,per.germ,0,NA,NA,3,15,1,,Figure 1,Table 1 title has 17-25C as germ.temp/overnight assumed as 720 mins in soaking.duration 
alhelal96,exp1,DM,Rumex,dentatus,NA,N,N,"Riyadh, Saudi Arabia",NA,NA,NA,Asia,NA,1992,NA,dry,NA,NA,4,dark,25,NA,15 - 25,NA,0,NA,NA,7,N,NA,Y,water,720,,per.germ,4,SE,5,3,15,2,,Figure 1,Table 1 title has 17-25C as germ.temp/overnight assumed as 720 mins in soaking.duration 
alhelal96,exp1,DM,Rumex,dentatus,NA,N,N,"Riyadh, Saudi Arabia",NA,NA,NA,Asia,NA,1992,NA,dry,NA,NA,4,dark,25,NA,15 - 25,NA,0,NA,NA,7,N,NA,Y,water,720,,per.germ,9,SE,8,3,15,3,,Figure 1,Table 1 title has 17-25C as germ.temp/overnight assumed as 720 mins in soaking.duration 
alhelal96,exp1,DM,Rumex,dentatus,NA,N,N,"Riyadh, Saudi Arabia",NA,NA,NA,Asia,NA,1992,NA,dry,NA,NA,4,dark,25,NA,15 - 25,NA,0,NA,NA,7,N,NA,Y,water,720,,per.germ,17,SE,9,3,15,4,,Figure 1,Table 1 title has 17-25C as germ.temp/overnight assumed as 720 mins in soaking.duration 
alhelal96,exp1,DM,Rumex,dentatus,NA,N,N,"Riyadh, Saudi Arabia",NA,NA,NA,Asia,NA,1992,NA,dry,NA,NA,4,dark,25,NA,15 - 25,NA,0,NA,NA,7,N,NA,Y,water,720,,per.germ,20,SE,12,3,15,5,,Figure 1,Table 1 title has 17-25C as germ.temp/overnight assumed as 720 mins in soaking.duration 
alhelal96,exp1,DM,Rumex,dentatus,NA,N,N,"Riyadh, Saudi Arabia",NA,NA,NA,Asia,NA,1992,NA,dry,NA,NA,4,dark,25,NA,15 - 25,NA,0,NA,NA,7,N,NA,Y,water,720,,per.germ,19.8,SE,9.3,3,15,6,,Figure 1,Table 1 title has 17-25C as germ.temp/overnight assumed as 720 mins in soaking.duration 
alhelal96,exp1,DM,Rumex,dentatus,NA,N,N,"Riyadh, Saudi Arabia",NA,NA,NA,Asia,NA,1992,NA,dry,NA,NA,4,dark,25,NA,15 - 25,NA,0,NA,NA,7,N,NA,Y,water,720,,per.germ,19.5,SE,10,3,15,7,,Figure 1,Table 1 title has 17-25C as germ.temp/overnight assumed as 720 mins in soaking.duration 
alhelal96,exp1,DM,Rumex,dentatus,NA,N,N,"Riyadh, Saudi Arabia",NA,NA,NA,Asia,NA,1992,NA,dry,NA,NA,4,dark,25,NA,15 - 25,NA,0,GA3,50,7,N,NA,Y,GA3,NA,,per.germ,0,NA,NA,3,15,1,,Figure 1,Table 1 title has 17-25C as germ.temp 
alhelal96,exp1,DM,Rumex,dentatus,NA,N,N,"Riyadh, Saudi Arabia",NA,NA,NA,Asia,NA,1992,NA,dry,NA,NA,4,dark,25,NA,15 - 25,NA,0,GA3,50,7,N,NA,Y,GA3,NA,,per.germ,15,SE,8,3,15,2,,Figure 1,Table 1 title has 17-25C as germ.temp 
alhelal96,exp1,DM,Rumex,dentatus,NA,N,N,"Riyadh, Saudi Arabia",NA,NA,NA,Asia,NA,1992,NA,dry,NA,NA,4,dark,25,NA,15 - 25,NA,0,GA3,50,7,N,NA,Y,GA3,NA,,per.germ,46,SE,6,3,15,3,,Figure 1,Table 1 title has 17-25C as germ.temp 
