"Publication.Type","Authors","Article.Title","Source.Title","Volume","Issue","Start.Page","Publication.Year","genus","species","accept_reject","reason_reject","language","available","paper_pulled","notes","checkedby","first","firstTemp","surname","studyID"
"J","Abdul Baqi; Hussain, S. A.; Wazir Muhammad; Sharafat Khan","Effect of different stratification periods on germination and vigour of pecan cultivars.","Sarhad Journal of Agriculture",10,"1","67",1994,"Pecan","","A","","","ILL needed","","","DB","Abdul Baqi","Abdul Baqi","abdul","abdul94"
"J","Abreu, Daniela Cleide A. de; Nogueira, Antonio Carlos; Medeiros, Antonio Carlos de Souza","Efeito do substrato e da temperatura na germinação de sementes de cataia (Drimys brasiliensis miers. winteraceae)","Revista Brasileira de Sementes",27,"1","149",2005,"Drimys","brasiliensis","A","","Portuguese","","Y","","DB","Abreu, Daniela Cleide A. de","Abreu","abreu","abreu05"
"J","Abuduca Diel; Ayimaimu Shawuti; Maimai Tiaili","Effect of pistachio seed soaking in solution of GA3 before stratification on the germination rate.","China Fruits",NA,"4","66",2006,"Pistachio","","A","","","","","There is a 0 GA treatment","EMW","Abuduca Diel","Abuduca Diel","abuduca","abuduca06"
"J","Acosta, J. M.; Bentivegna, D. J.; Panigo, E. S.; Dellaferrera, I.; Perreta, M. G.","Factors affecting seed germination and emergence of Gomphrena perennis","WEED RESEARCH",53,"1","69",2013,"Gomphrena","perennis","A","","","","Y","","DB","Acosta, J. M.","Acosta","acosta","acosta13"
"J","Acuna, P. B.","Effect of pretreatment on germination of seeds of Eucryphia glutinosa (Poepp. et Endl.) Baillon.","Bosque",24,"2","79",2003,"Eucryphia","glutinosa","A","","Spanish","ILL needed","","","DB","Acuna, P. B.","Acuna","acuna","acuna03"
"J","Agah, F.; Esmaeili, M. A.; Farzam, M.; Abbasi, R.","Effect of dormancy breaking treatments and seed bed medium on seed germination and morphology of Capparis spinosa L. seedlings.","Iranian Journal of Seed Science and Technology",9,"3","fa45",2020,"Caper","","A","","","","","""Mazdavand ecotype""","EMW","Agah, F.","Agah","agah","agah20"
"J","Ahmad, H.; Hitchmough, J. D.","Germination and emergence of understorey and tall canopy forbs used in naturalistic sowing mixes. A comparison of performance in vitro v the field","SEED SCIENCE AND TECHNOLOGY",35,"3","624",2007,"Multiple","","A","","","","","","EMW","Ahmad, H.","Ahmad","ahmad","ahmad07"
"J","Ahn, H. K.; Kim, S. K.; Oh, J. H.","Seed germination of Actinidia arguta as affected by chilling, gibberellin, kinetin and light.","Journal of the Korean Society for Horticultural Science",25,"4","290",1984,"Actinida","arguta","A","","","ILL needed","","","DB","Ahn, H. K.","Ahn","ahn","ahn84"
"J","Ahola, V; Leinonen, K","Responses of Betula pendula, Picea abies, and Pinus sylvestris seeds to red/far-red ratios as affected by moist chilling and germination temperature","CANADIAN JOURNAL OF FOREST RESEARCH-REVUE CANADIENNE DE RECHERCHE FORESTIERE",29,"11","1709",1999,"Multiple","","A","","","","Y","Temp treatments might 100% covary with light treatments","DB","Ahola, V","Ahola","ahola","ahola99"
"J","Aiello, N.; Fusani, P.","Effects of prechilling and gibberellic acid on seed germination of roseroot.","Sementi Elette",50,"4","33",2004,"Rhodeola","rosea","A","","","ILL needed","","","DB","Aiello, N.","Aiello","aiello","aiello04"
"J","Aiello, Nicola; Lombardo, Gabriella; Gianni, Sergio; Scartezzini, Fabrizio; Fusani, Pietro","The effect of cold stratification and of gibberellic acid on the seed germination of wild musk yarrow [Achillea erba-rotta subsp. moschata (Wulfen) I. Richardson] populations","JOURNAL OF APPLIED RESEARCH ON MEDICINAL AND AROMATIC PLANTS",7,"","108",2017,"Achillea","erbarotta","A","","","ILL needed","","","DB","Aiello, Nicola","Aiello","aiello","aiello17"
"J","Ailin Masini, Ana Carla; Edit Rovere, Adriana; Ines Pirk, Gabriela","Pre-germinative requirements of Maihuenia patagonica and Maihueniopsis darwinii endemic cacti from Patagonia","GAYANA BOTANICA",71,"2","188",2014,"Maihuenia","Multiple","A","","Spanish","","Y","","DB","Ailin Masini, Ana Carla","Ailin Masini","ailin","ailin14"
"J","Airi, S.; Bhatt, I. D.; Bhatt, A.; Rawal, R. S.; Dhar, U.","Variations in seed germination of Hippophae salicifolia with different presoaking treatments","Journal of Forestry Research (Harbin)",20,"1","27",2009,"Hippophae","salicifolia","A","","","","Y","","DB","Airi, S.","Airi","airi","airi09"
"J","Al-Absi, K. M.","The effects of different pre-sowing seed treatments on breaking the dormancy of mahaleb cherries, Prunus mahaleb L. seeds","SEED SCIENCE AND TECHNOLOGY",38,"2","332",2010,"Prunus","mahaleb","A","","","ILL needed","","UBC might have access to this journal","DB","Al-Absi, K. M.","Al-Absi","al-absi","al-absi10"
"J","Alan, Ozlem; Eser, Benian","Pepper seed yield and quality in relation to fruit position on the mother plant.","Pakistan journal of biological sciences : PJBS",10,"23","4251",2007,"Capsicum","annuum","A","","","","","","GG","Alan, Ozlem","Alan","alan","alan07"
"J","Aldridge, C. D.; Probert, R. J.","Effects of partial drying on seed germination in the aquatic grasses Zizania palustris L. and Porteresia coarctata (Roxb.) Tateoka","Seed Science Research",2,"4","199",1992,"Mutiple","","A","","","","","","GG","Aldridge, C. D.","Aldridge","aldridge","aldridge92"
"J","AlHelal, AA","Studies on germination of Rumex dentatus L seeds","JOURNAL OF ARID ENVIRONMENTS",33,"1","39",1996,"Rumex","dentatus","A","","","","","","GG","AlHelal, AA","AlHelal","alhelal","alhelal96"
"J","Alinaghizadeh, M.; Khajeh-Hosseini, M.; Hosseini, S. A.; Mohasel, M. H. R.","The study of seed germination and dormancy of Chenopodium album, Convolvulus arvensis and Setaria viridis in pistachio orchards of Rafsanjan, Iran.","Iranian Journal of Seed Research",3,"2","Pe71",2017,"Multiple","","A","","","","","","GG","Alinaghizadeh, M.","Alinaghizadeh","alinaghizadeh","alinaghizadeh17"
"J","ALLEN, G. S.","Factors affecting the viability and germination behavior of coniferous seed I. Cone and seed maturity, Tsuga heterophylla (Rafn.) Sarg. II. Cone and seed maturity, Pseudotsuga menziesii (Mirb.) Franco. III. Commercial processing and treatments similar to processing, Pseudotsuga menziesii (Mirb.) Franco, and other species","FOREST CHRON",34,"-3","266",1958,"Multiple","","A","","","","","","GG","ALLEN, G. S.","ALLEN","allen","allen58"
"J","Alptekin, C. U.; Tilki, F.","Effects of stratification and pericarp removal on germination of Quercus libani acorns.","Silva Balcanica",NA,"2(1)","21",2002,"Quercus","libani","A","","","","","","GG","Alptekin, C. U.","Alptekin","alptekin","alptekin02"
