"'Table I-Euonymus, eunoymus:","'nomenclature and occurrence","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'E. alata (Thunb.) Sieb. Celastris alatus Thunb.","'winged spindletree, winged euonymus, corkbush, burning-bush","'Central China, Manchuria, E Siberia, Korea, Japan, & Sakhalin",
"'E. americana L.","'American strawberry-bush, bursting-heart, hearts-a-bustin, brook euonymus","'New York to Illinois to Texas to Florida",
"'E. atropurpurea Jacq.","'eastern wahoo, burning-bush, wahoo","'W New York to S Ontario, central Michigan & Minnesota, SE North Dakota, S to NW Nebraska, central Kansas, & E Texas, E to Arkansas, Tennessee, & N Alabama",
"'E. bungeana Maxim.","'winterberry euonymus","'N China, Manchuria, & Korea",
"'E. europaea L.","'European spindletree, European euonymus","'Europe to W Asia (to 900 m in mtns)",
"'E. hamiltoniana spp. maackii (Rupr.) Komarov","'Maack euonymus","'N China & Korea",
"'E. obovata Nutt.","'running strawberry-bush, running euonymus","'W New York & S Ontario to central Michigan, Illinois, S to West Virginia, Kentucky, & Missouri",
"'E. verrucosa Scop.","'warty-bark euonymus, warty spindletree","'S Europe & W Asia",
,,

'Confidence Scores % (Table Cell)
""'83.83789063","'83.83789063","'83.83789063",
"'93.94531250","'93.99414063","'95.50781250",
"'83.10546875","'83.15429688","'84.52148438",
"'80.95703125","'81.00585938","'82.32421875",
"'90.03906250","'90.08789063","'91.55273438",
"'52.73437500","'52.73437500","'53.61328125",
"'57.47070313","'57.47070313","'58.44726563",
"'68.70117188","'68.75000000","'69.87304688",
"'70.31250000","'70.36132813","'71.48437500",
"'82.66601563","'82.66601563","'84.03320313",
