"","speciesID","filePath","pdfPageNumber","scrapedTableNumber","pdfTableNumber","genus","species","seed.type","source.population","medium","pretreatment.duration","pretreatment.hotwater","pretreatment","stratification.temp","warm.stratification.duration","cold.stratification.duration","photoperiod","tempDay","tempNight","germ.duration","samples","genusID","pretreatmentFeces","chilling","chill.duration","scarifType","scarifTypeGen","responseVar","responseValue","pretreatmentMin","pretreatmentMax","cold.strat.dur.Min","cold.strat.dur.Max","photoperiodMin","photoperiodMax","tempDayMin","tempDayMax","tempNightMin","tempNightMax","germ.dur.Min","germ.dur.Max","samplesMin","samplesMax","chill.dur.Min","chill.dur.Max","responseValueMin","responseValueMax","responseValueAvg","pretreatmentAvg","cold.strat.dur.Avg","photoperiodAvg","tempDayAvg","tempNightAvg","germ.dur.Avg","samplesAvg","chill.dur.Avg","chill.dur.Avg.comb","chill.dur.Min.comb","chill.dur.Max.comb","responseVarClean","latbi","X","chill.duraton"
"1","1","C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv","273","6","3","Aronia","arbutifolia",NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,"20","20","30","4","1",NA,"Y","90",NA,NA,"mgt",NA,NA,NA,"90",NA,NA,NA,20,NA,20,NA,"30",NA,4,NA,"90",NA,NA,NA,NA,NA,"90",NA,20,20,"30",4,"90","90","90",NA,"mgt","Aronia_arbutifolia","1",NA
"2","1","C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv","273","6","3","Aronia","arbutifolia",NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,"20","20","30","4","1",NA,"Y","90",NA,NA,"percent.germ.total","94",NA,NA,"90",NA,NA,NA,20,NA,20,NA,"30",NA,4,NA,"90",NA,94,NA,94,NA,"90",NA,20,20,"30",4,"90","90","90",NA,"perc.standard","Aronia_arbutifolia","2",NA
"3","1","C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv","273","6","3","Aronia","arbutifolia",NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,"20","20","30","4","1",NA,"Y","90",NA,NA,"percent.germ",NA,NA,NA,"90",NA,NA,NA,20,NA,20,NA,"30",NA,4,NA,"90",NA,NA,NA,NA,NA,"90",NA,20,20,"30",4,"90","90","90",NA,"perc.standard","Aronia_arbutifolia","3",NA
"4","1","C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv","273","6","3","Aronia","arbutifolia",NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,"20","20","30","4","1",NA,"Y","90",NA,NA,"germ.rate",NA,NA,NA,"90",NA,NA,NA,20,NA,20,NA,"30",NA,4,NA,"90",NA,NA,NA,NA,NA,"90",NA,20,20,"30",4,"90","90","90",NA,"germ.rate","Aronia_arbutifolia","4",NA
"5","1","C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv","273","6","3","Aronia","arbutifolia",NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,"20","20","30","4","1",NA,"Y","90",NA,NA,"mean.percent.germ.energy",NA,NA,NA,"90",NA,NA,NA,20,NA,20,NA,"30",NA,4,NA,"90",NA,NA,NA,NA,NA,"90",NA,20,20,"30",4,"90","90","90",NA,"percent.germ.energy","Aronia_arbutifolia","5",NA
"6","1","C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv","273","6","3","Aronia","arbutifolia",NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,"20","20","30","4","1",NA,"Y","90",NA,NA,"percent.germ.energy",NA,NA,NA,"90",NA,NA,NA,20,NA,20,NA,"30",NA,4,NA,"90",NA,NA,NA,NA,NA,"90",NA,20,20,"30",4,"90","90","90",NA,"percent.germ.energy","Aronia_arbutifolia","6",NA
"7","1","C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv","273","6","3","Aronia","arbutifolia",NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,"20","20","30","4","1",NA,"Y","90",NA,NA,"mean.germ.capacity",NA,NA,NA,"90",NA,NA,NA,20,NA,20,NA,"30",NA,4,NA,"90",NA,NA,NA,NA,NA,"90",NA,20,20,"30",4,"90","90","90",NA,"perc.standard","Aronia_arbutifolia","7",NA
"8","1","C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv","273","6","3","Aronia","arbutifolia",NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,"20","20","30","4","1",NA,"Y","90",NA,NA,"germ.capacity",NA,NA,NA,"90",NA,NA,NA,20,NA,20,NA,"30",NA,4,NA,"90",NA,NA,NA,NA,NA,"90",NA,20,20,"30",4,"90","90","90",NA,"perc.standard","Aronia_arbutifolia","8",NA
"9","1","C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv","273","6","3","Aronia","arbutifolia",NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,"20","20","30","4","1",NA,"Y","90",NA,NA,"percent.germ.15degC.incubated",NA,NA,NA,"90",NA,NA,NA,20,NA,20,NA,"30",NA,4,NA,"90",NA,NA,NA,NA,NA,"90",NA,20,20,"30",4,"90","90","90",NA,"perc.standard","Aronia_arbutifolia","9",NA
"10","1","C:\Users\User\my_repo_dir\egret\analyses\scrapeUSDAseedmanual\input\100-550\200-300\wo_ah727-19-1203-201-300-61-70\germination_table-6.csv","273","6","3","Aronia","arbutifolia",NA,NA,NA,NA,NA,NA,NA,NA,"90",NA,"20","20","30","4","1",NA,"Y","90",NA,NA,"percent.germ.20degC.incubated",NA,NA,NA,"90",NA,NA,NA,20,NA,20,NA,"30",NA,4,NA,"90",NA,NA,NA,NA,NA,"90",NA,20,20,"30",4,"90","90","90",NA,"percent.germ.20degC.incubated","Aronia_arbutifolia","10",NA
