datasetID,study,entered.by,genus,species,variety,woody,crop,source.population,provenance.lat,provenance.long,provenance.altitude,continent,no.indiv.collected,year.collected,year.germination,storage.type,storage.time,storage.humidity,storage.temp,treatment,chill.temp,chill.duration,germ.temp,other.treatment,photoperiod,chemical,chemcial.concent,trt.duration,scarification,scarif.type,soaking,soaked.in,soaking.duration,seed.mass.given,respvar,response,error.type,resp.error,reps,n.per.rep,germ.duration,germ.tim.zero,figure,Notes,
wytsalucy21,exp1,DK,Cleome,Serrulata,NA,N,N,"Arizona, USA",36.1544,109.5526,1698,North America,82500,2015,NA,"cold, dry",NA,NA,4,chilling,4,28,20,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,Y,per.germ,20,NA,NA,5,25,,NA,figure 1,,
wytsalucy21,exp1,DK,Cleome,Serrulata,NA,N,N,"Arizona, USA",36.1544,109.5526,1698,North America,82500,2015,NA,"cold, dry",NA,NA,4,chilling,4,28,20,NA,NA,NA,NA,NA,Y,"chemical, H2O2",Y,NA,NA,Y,per.germ,12.1,NA,NA,5,25,,NA,figure 1,,
wytsalucy21,exp1,DK,Cleome,Serrulata,NA,N,N,"Arizona, USA",36.1544,109.5526,1698,North America,82500,2015,NA,"cold, dry",NA,NA,4,chilling,4,28,20,NA,NA,GA3,750,120,Y,"chemical, H2O2",Y,GA3,120,Y,per.germ,15.7,NA,NA,5,25,,NA,figure 1,,
wytsalucy21,exp1,DK,Cleome,Serrulata,NA,N,N,"Arizona, USA",36.1544,109.5526,1698,North America,82500,2015,NA,"cold, dry",NA,NA,4,chilling,7,28,20,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,Y,per.germ,5.6,NA,NA,5,25,,NA,figure 1,,
wytsalucy21,exp1,DK,Cleome,Serrulata,NA,N,N,"Arizona, USA",36.1544,109.5526,1698,North America,82500,2015,NA,"cold, dry",NA,NA,4,chilling,7,28,20,NA,NA,NA,NA,NA,Y,"chemical, H2O2",Y,NA,NA,Y,per.germ,6.1,NA,NA,5,25,,NA,figure 1,,
wytsalucy21,exp1,DK,Cleome,Serrulata,NA,N,N,"Arizona, USA",36.1544,109.5526,1698,North America,82500,2015,NA,"cold, dry",NA,NA,4,chilling,7,28,20,NA,NA,GA3,750,120,Y,"chemical, H2O2",Y,GA3,120,Y,per.germ,4.3,NA,NA,5,25,,NA,figure 1,,
wytsalucy21,exp1,DK,Cleome,Serrulata,NA,N,N,"Arizona, USA",36.1544,109.5526,1698,North America,82500,2015,NA,"cold, dry",NA,NA,4,chilling,10,28,20,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,Y,per.germ,5.6,NA,NA,5,25,,NA,figure 1,,
wytsalucy21,exp1,DK,Cleome,Serrulata,NA,N,N,"Arizona, USA",36.1544,109.5526,1698,North America,82500,2015,NA,"cold, dry",NA,NA,4,chilling,10,28,20,NA,NA,NA,NA,NA,Y,"chemical, H2O2",Y,NA,NA,Y,per.germ,4.3,NA,NA,5,25,,NA,figure 1,,
wytsalucy21,exp1,DK,Cleome,Serrulata,NA,N,N,"Arizona, USA",36.1544,109.5526,1698,North America,82500,2015,NA,"cold, dry",NA,NA,4,chilling,10,28,20,NA,NA,GA3,750,120,Y,"chemical, H2O2",Y,GA3,120,Y,per.germ,3.7,NA,NA,5,25,,NA,figure 1,,
wytsalucy21,exp1,DK,Cleome,Serrulata,NA,N,N,"Arizona, USA",36.1544,109.5526,1698,North America,82500,2015,NA,"cold, dry",NA,NA,4,chilling,20,28,20,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,Y,per.germ,3.7,NA,NA,5,25,,NA,figure 1,,
wytsalucy21,exp1,DK,Cleome,Serrulata,NA,N,N,"Arizona, USA",36.1544,109.5526,1698,North America,82500,2015,NA,"cold, dry",NA,NA,4,chilling,20,28,20,NA,NA,NA,NA,NA,Y,"chemical, H2O2",Y,NA,NA,Y,per.germ,3.7,NA,NA,5,25,,NA,figure 1,,
wytsalucy21,exp1,DK,Cleome,Serrulata,NA,N,N,"Arizona, USA",36.1544,109.5526,1698,North America,82500,2015,NA,"cold, dry",NA,NA,4,chilling,20,28,20,NA,NA,GA3,750,120,Y,"chemical, H2O2",Y,GA3,120,Y,per.germ,3.7,NA,NA,5,25,,NA,figure 1,,
wytsalucy21,exp1,DK,Cleome,Serrulata,NA,N,N,"Arizona, USA",36.1544,109.5526,1698,North America,82500,2015,NA,"cold, dry",NA,NA,4,chilling,4,28,20,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,Y,mgt,19,NA,NA,5,25,,NA,figure 1,,
wytsalucy21,exp1,DK,Cleome,Serrulata,NA,N,N,"Arizona, USA",36.1544,109.5526,1698,North America,82500,2015,NA,"cold, dry",NA,NA,4,chilling,4,28,20,NA,NA,NA,NA,NA,Y,"chemical, H2O2",Y,NA,NA,Y,mgt,21,NA,NA,5,25,,NA,figure 1,,
wytsalucy21,exp1,DK,Cleome,Serrulata,NA,N,N,"Arizona, USA",36.1544,109.5526,1698,North America,82500,2015,NA,"cold, dry",NA,NA,4,chilling,4,28,20,NA,NA,GA3,750,120,Y,"chemical, H2O2",Y,GA3,120,Y,mgt,20,NA,NA,5,25,,NA,figure 1,,
wytsalucy21,exp1,DK,Cleome,Serrulata,NA,N,N,"Arizona, USA",36.1544,109.5526,1698,North America,82500,2015,NA,"cold, dry",NA,NA,4,chilling,7,28,20,NA,NA,NA,NA,NA,Y,"chemical, H2O2",Y,NA,NA,Y,mgt,23,NA,NA,5,25,,NA,figure 1,,
wytsalucy21,exp1,DK,Cleome,Serrulata,NA,N,N,"Arizona, USA",36.1544,109.5526,1698,North America,82500,2015,NA,"cold, dry",NA,NA,4,chilling,4,28,20,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,Y,germination spread (days),10,NA,NA,5,25,,NA,figure 1,,
wytsalucy21,exp1,DK,Cleome,Serrulata,NA,N,N,"Arizona, USA",36.1544,109.5526,1698,North America,82500,2015,NA,"cold, dry",NA,NA,4,chilling,4,28,20,NA,NA,NA,NA,NA,Y,"chemical, H2O2",Y,NA,NA,Y,germination spread (days),9,NA,NA,5,25,,NA,figure 1,,
wytsalucy21,exp1,DK,Cleome,Serrulata,NA,N,N,"Arizona, USA",36.1544,109.5526,1698,North America,82500,2015,NA,"cold, dry",NA,NA,4,chilling,4,28,20,NA,NA,GA3,750,120,Y,"chemical, H2O2",Y,GA3,120,Y,germination spread (days),11,NA,NA,5,25,,NA,figure 1,,
