datasetID,study,entered.by,genus,species,variety,woody,crop,source.population,provenance.lat,provenance.long,provenance.altitude,continent,no.indiv.collected,year.collected,year.germination,storage.type,storage.time,storage.humidity,storage.temp,treatment,chill.temp,chill.duration,germ.temp,other.treatment,photoperiod,chemical,chemcial.concent,trt.duration,scarification,scarif.type,soaking,soaked.in,soaking.duration,seed.mass.given,respvar,response,error.type,resp.error,reps,n.per.rep,germ.duration,germ.tim.zero,figure,Notes,Column1,Column2,Column3,Column4,Column5
castro95,exp1,CRD,Grindelia,glutinosa,NA,N,N,NA,NA,NA,NA,South America,NA,NA,NA,NA,NA,0,NA,moisture gradient ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,per.germ,0,NA,NA,8,40,NA,NA,figure 1,"no specification on locaiton, only for chemical studies for which they dont provide figure or table;figure 1 is on moisture gradient, since there is no column for moisture percentage, I added it to storage humidity and put moisture gradient as treatment; ",,,,,
castro95,exp1,CRD,Grindelia,glutinosa,NA,N,N,NA,NA,NA,NA,South America,NA,NA,NA,NA,NA,15.104,NA,moisture gradient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,per.germ,22.411,NA,NA,8,40,NA,NA,figure 1,"no specification on locaiton, only for chemical studies for which they dont provide figure or table;figure 1 is on moisture gradient, since there is no column for moisture percentage, I added it to storage humidity and put moisture gradient as treatment; ",,,,,
castro95,exp1,CRD,Grindelia,glutinosa,NA,N,N,NA,NA,NA,NA,South America,NA,NA,NA,NA,NA,22.008,NA,moisture gradient ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,per.germ,14.969,NA,NA,8,40,NA,NA,figure 1,"no specification on locaiton, only for chemical studies for which they dont provide figure or table;figure 1 is on moisture gradient, since there is no column for moisture percentage, I added it to storage humidity and put moisture gradient as treatment; ",,,,,
castro95,exp1,CRD,Grindelia,glutinosa,NA,N,N,NA,NA,NA,NA,South America,NA,NA,NA,NA,NA,34.988,NA,moisture gradient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,per.germ,29.852,NA,NA,8,40,NA,NA,figure 1,"no specification on locaiton, only for chemical studies for which they dont provide figure or table;figure 1 is on moisture gradient, since there is no column for moisture percentage, I added it to storage humidity and put moisture gradient as treatment; ",,,,,
castro95,exp1,CRD,Grindelia,glutinosa,NA,N,N,NA,NA,NA,NA,South America,NA,NA,NA,NA,NA,50.04,NA,moisture gradient ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,per.germ,42.28,NA,NA,8,40,NA,NA,figure 1,"no specification on locaiton, only for chemical studies for which they dont provide figure or table;figure 1 is on moisture gradient, since there is no column for moisture percentage, I added it to storage humidity and put moisture gradient as treatment; ",,,,,
castro95,exp1,CRD,Grindelia,glutinosa,NA,N,N,NA,NA,NA,NA,South America,NA,NA,NA,NA,NA,62.883,NA,moisture gradient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,per.germ,32.231,NA,NA,8,40,NA,NA,figure 1,"no specification on locaiton, only for chemical studies for which they dont provide figure or table;figure 1 is on moisture gradient, since there is no column for moisture percentage, I added it to storage humidity and put moisture gradient as treatment; ",,,,,
castro95,exp1,CRD,Grindelia,glutinosa,NA,N,N,NA,NA,NA,NA,South America,NA,NA,NA,NA,NA,69.787,NA,moisture gradient ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,per.germ,27.091,NA,NA,8,40,NA,NA,figure 1,"no specification on locaiton, only for chemical studies for which they dont provide figure or table;figure 1 is on moisture gradient, since there is no column for moisture percentage, I added it to storage humidity and put moisture gradient as treatment; ",,,,,
castro95,exp1,CRD,Grindelia,glutinosa,NA,N,N,NA,NA,NA,NA,South America,NA,NA,NA,NA,NA,80.696,NA,moisture gradient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,per.germ,7.068,NA,NA,8,40,NA,NA,figure 1,"no specification on locaiton, only for chemical studies for which they dont provide figure or table;figure 1 is on moisture gradient, since there is no column for moisture percentage, I added it to storage humidity and put moisture gradient as treatment; ",,,,,
castro95,exp1,CRD,Grindelia,tarapacana,NA,N,N,NA,NA,NA,NA,South America,NA,NA,NA,NA,NA,0,NA,moisture gradient ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,per.germ,0,NA,NA,8,40,NA,NA,figure 1,"no specification on locaiton, only for chemical studies for which they dont provide figure or table;figure 1 is on moisture gradient, since there is no column for moisture percentage, I added it to storage humidity and put moisture gradient as treatment; ",,,,,
castro95,exp1,CRD,Grindelia,tarapacana,NA,N,N,NA,NA,NA,NA,South America,NA,NA,NA,NA,NA,15.104,NA,moisture gradient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,per.germ,7.451,NA,NA,8,40,NA,NA,figure 1,"no specification on locaiton, only for chemical studies for which they dont provide figure or table;figure 1 is on moisture gradient, since there is no column for moisture percentage, I added it to storage humidity and put moisture gradient as treatment; ",,,,,
